Date,Gas Oil
1991-02,0.029300000000000003
1991-03,0.0219
1991-04,0.0768
1991-05,0.031200000000000002
1991-06,-0.0207
1991-07,0.0784
1991-08,0.057
1991-09,0.0245
1991-10,0.0641
1991-11,-0.08929999999999999
1991-12,-0.1646
1992-01,0.06309999999999999
1992-02,-0.029900000000000003
1992-03,0.0225
1992-04,0.0895
1992-05,0.0484
1992-06,0.0265
1992-07,-0.0245
1992-08,-0.0351
1992-09,0.0349
1992-10,-0.0337
1992-11,-0.0388
1992-12,-0.0212
1993-01,-0.0191
1993-02,0.0236
1993-03,0.0027
1993-04,0.0262
1993-05,-0.0176
1993-06,-0.0518
1993-07,-0.0378
1993-08,0.0139
1993-09,0.0594
1993-10,-0.0897
1993-11,-0.03
1993-12,-0.0999
1994-01,0.0276
1994-02,-0.019
1994-03,-0.022099999999999998
1994-04,0.1052
1994-05,0.0273
1994-06,0.0191
1994-07,0.0335
1994-08,-0.067
1994-09,0.0023
1994-10,-0.0431
1994-11,-0.0217
1994-12,-0.0132
1995-01,-0.0395
1995-02,0.0076
1995-03,0.0461
1995-04,0.0403
1995-05,-0.0268
1995-06,-0.0333
1995-07,0.0149
1995-08,0.0431
1995-09,-0.0276
1995-10,-0.0109
1995-11,0.0393
1995-12,0.1193
1996-01,-0.08839999999999999
1996-02,0.11449999999999999
1996-03,0.1076
1996-04,0.0508
1996-05,-0.0171
1996-06,0.0359
1996-07,0.062400000000000004
1996-08,0.10460000000000001
1996-09,0.17859999999999998
1996-10,0.0158
1996-11,0.0327
1996-12,0.0319
1997-01,-0.0339
1997-02,-0.1559
1997-03,0.025699999999999997
1997-04,-0.0054
1997-05,0.0219
1997-06,-0.0528
1997-07,0.0208
1997-08,-0.027200000000000002
1997-09,0.0864
1997-10,0.0037
1997-11,-0.0666
1997-12,-0.1063
1998-01,-0.0417
1998-02,-0.085
1998-03,-0.004699999999999999
1998-04,-0.0206
1998-05,-0.09300000000000001
1998-06,-0.0277
1998-07,-0.0925
1998-08,-0.1023
1998-09,0.17579999999999998
1998-10,-0.1168
1998-11,-0.1777
1998-12,-0.042300000000000004
1999-01,0.016200000000000003
1999-02,-0.0339
1999-03,0.2999
1999-04,0.02
1999-05,-0.0983
1999-06,0.13140000000000002
1999-07,0.1311
1999-08,0.10310000000000001
1999-09,0.0693
1999-10,-0.0547
1999-11,0.13570000000000002
1999-12,0.057699999999999994
2000-01,0.0641
2000-02,0.057999999999999996
2000-03,-0.0753
2000-04,0.031200000000000002
2000-05,0.1352
2000-06,0.1286
2000-07,-0.061399999999999996
2000-08,0.2949
2000-09,-0.0424
2000-10,-0.0045000000000000005
2000-11,0.0933
2000-12,-0.1674
2001-01,-0.06309999999999999
2001-02,0.0342
2001-03,-0.0322
2001-04,0.1183
2001-05,0.0075
2001-06,-0.0187
2001-07,-0.0363
2001-08,0.0611
2001-09,-0.10189999999999999
2001-10,-0.1109
2001-11,-0.10980000000000001
2001-12,-0.0024
2002-01,-0.0461
2002-02,0.056600000000000004
2002-03,0.1782
2002-04,0.0304
2002-05,-0.0751
2002-06,0.043899999999999995
2002-07,0.0194
2002-08,0.0828
2002-09,0.051699999999999996
2002-10,-0.0904
2002-11,0.0123
2002-12,0.10460000000000001
2003-01,0.11900000000000001
2003-02,0.1691
2003-03,-0.1787
2003-04,-0.10369999999999999
2003-05,0.0802
2003-06,0.0691
2003-07,0.0325
2003-08,0.04769999999999999
2003-09,-0.0727
2003-10,0.0365
2003-11,0.0416
2003-12,0.0959
2004-01,-0.026099999999999998
2004-02,0.0711
2004-03,0.0187
2004-04,0.1142
2004-05,0.0545
2004-06,0.0302
2004-07,0.1648
2004-08,-0.0259
2004-09,0.2299
2004-10,0.0674
2004-11,-0.0154
2004-12,-0.1355
2005-01,0.0984
2005-02,0.13119999999999998
2005-03,0.1636
2005-04,-0.0738
2005-05,-0.0292
2005-06,0.1518
2005-07,0.0054
2005-08,0.1663
2005-09,-0.009300000000000001
2005-10,-0.1079
2005-11,-0.096
2005-12,-0.0001
2006-01,0.0926
2006-02,-0.07200000000000001
2006-03,0.0701
2006-04,0.0802
2006-05,-0.018799999999999997
2006-06,0.0365
2006-07,-0.018600000000000002
2006-08,-0.0216
2006-09,-0.1402
2006-10,-0.0555
2006-11,0.08109999999999999
2006-12,-0.0858
2007-01,-0.020099999999999996
2007-02,0.0481
2007-03,0.092
2007-04,0.0019
2007-05,-0.0138
2007-06,0.060599999999999994
2007-07,0.0415
2007-08,-0.029900000000000003
2007-09,0.1127
2007-10,0.10490000000000001
2007-11,0.0013
2007-12,0.0693
2008-01,-0.0407
2008-02,0.15039999999999998
2008-03,0.0832
2008-04,0.1075
2008-05,0.1514
2008-06,0.0665
2008-07,-0.11259999999999999
2008-08,-0.08900000000000001
2008-09,-0.1268
2008-10,-0.3096
2008-11,-0.16870000000000002
2008-12,-0.2267
2009-01,0.046799999999999994
2009-02,-0.1531
2009-03,0.067
2009-04,-0.0040999999999999995
2009-05,0.2052
2009-06,0.0375
2009-07,-0.002
2009-08,-0.024300000000000002
2009-09,-0.028999999999999998
2009-10,0.11349999999999999
2009-11,-0.0241
2009-12,0.008100000000000001
2010-01,-0.0837
2010-02,0.0513
2010-03,0.0692
2010-04,0.0713
2010-05,-0.1346
2010-06,0.0060999999999999995
2010-07,0.0059
2010-08,-0.0258
2010-09,0.087
2010-10,-0.0002
2010-11,0.0368
2010-12,0.042
2011-01,0.0885
2011-02,0.1093
2011-03,0.0533
2011-04,0.0487
2011-05,-0.07440000000000001
2011-06,-0.037200000000000004
2011-07,0.0429
2011-08,-0.0026
2011-09,-0.0895
2011-10,0.0794
2011-11,0.0246
2011-12,-0.0405
2012-01,0.0414
2012-02,0.0673
2012-03,0.0103
2012-04,-0.010700000000000001
2012-05,-0.1338
2012-06,-0.0265
2012-07,0.0796
2012-08,0.0962
2012-09,-0.015300000000000001
2012-10,-0.0086
2012-11,0.0096
2012-12,-0.03
2013-01,0.0634
2013-02,-0.0297
2013-03,-0.0197
2013-04,-0.0762
2013-05,-0.009899999999999999
2013-06,0.028900000000000002
2013-07,0.0444
2013-08,0.0575
2013-09,-0.054400000000000004
2013-10,0.0151
2013-11,0.0253
2013-12,0.0006
2014-01,-0.0318
2014-02,0.0113
2014-03,-0.0226
2014-04,0.005600000000000001
2014-05,-0.0058
2014-06,0.027200000000000002
2014-07,-0.035699999999999996
2014-08,-0.0276
2014-09,-0.0728
2014-10,-0.0898
2014-11,-0.11789999999999999
2014-12,-0.2177
2015-01,-0.09179999999999999
2015-02,0.2115
2015-03,-0.08990000000000001
2015-04,0.13699999999999998
2015-05,-0.0116
2015-06,-0.0335
2015-07,-0.1501
2015-08,-0.0127
2015-09,-0.0527
2015-10,-0.0253
2015-11,-0.08529999999999999
2015-12,-0.23120000000000002
2016-01,-0.0882
2016-02,0.0326
2016-03,0.0681
2016-04,0.1294
2016-05,0.0897
2016-06,-0.018600000000000002
2016-07,-0.16190000000000002
2016-08,0.0919
2016-09,0.0594
2016-10,-0.015700000000000002
2016-11,0.0172
2016-12,0.1054
2017-01,-0.018799999999999997
2017-02,-0.0151
2017-03,-0.0455
2017-04,-0.0325
2017-05,-0.0254
2017-06,-0.0298
2017-07,0.1166
2017-08,0.0255
2017-09,0.0925
2017-10,0.025
2017-11,0.0216
2017-12,0.0755
2018-01,0.0235
2018-02,-0.0545
2018-03,0.0702
2018-04,0.064
2018-05,0.0546
2018-06,-0.0039000000000000003
2018-07,-0.03
2018-08,0.0527
2018-09,0.051699999999999996
2018-10,-0.0318
2018-11,-0.2132
2018-12,-0.060700000000000004
2019-01,0.1401
2019-02,0.0675
2019-03,-0.0143
2019-04,0.0454
2019-05,-0.09369999999999999
2019-06,0.0325
2019-07,0.0074
2019-08,-0.071
2019-09,0.05
2019-10,-0.0163
2019-11,0.0191
2019-12,0.0725
2020-01,-0.17679999999999998
2020-02,-0.1198
2020-03,-0.32939999999999997
2020-04,-0.1668
2020-05,0.09380000000000001
2020-06,0.1684
2020-07,0.023799999999999998
2020-08,-0.0067
2020-09,-0.1075
2020-10,-0.0898
2020-11,0.2551
2020-12,0.0764
2021-01,0.0642
2021-02,0.17579999999999998
2021-03,-0.0478
2021-04,0.048799999999999996
2021-05,0.057800000000000004
2021-06,0.0526
2021-07,0.0242
2021-08,-0.0241
2021-09,0.1278
2021-10,0.0582
2021-11,-0.1518
2021-12,0.11800000000000001
2022-01,0.1808
2022-02,0.1103
2022-03,0.21489999999999998
2022-04,0.1612
2022-05,0.09119999999999999
2022-06,-0.0334
2022-07,-0.009899999999999999
2022-08,-0.017
2022-09,-0.0934
2022-10,0.1387
2022-11,-0.0504
2022-12,-0.0246
