Date,Natural Gas
1991-02,-0.0075
1991-03,0.0068000000000000005
1991-04,-0.0464
1991-05,-0.0294
1991-06,-0.0919
1991-07,0.0339
1991-08,0.07490000000000001
1991-09,0.07629999999999999
1991-10,-0.0174
1991-11,-0.0528
1991-12,-0.1495
1992-01,-0.0663
1992-02,-0.038
1992-03,0.161
1992-04,0.0342
1992-05,0.17579999999999998
1992-06,-0.0353
1992-07,0.2401
1992-08,0.045599999999999995
1992-09,0.1972
1992-10,-0.0931
1992-11,-0.0712
1992-12,-0.0378
1993-01,0.0044
1993-02,0.1381
1993-03,0.1475
1993-04,0.1536
1993-05,-0.07339999999999999
1993-06,0.013500000000000002
1993-07,-0.0095
1993-08,0.0273
1993-09,-0.0599
1993-10,-0.0424
1993-11,-0.0558
1993-12,-0.111
1994-01,0.3385
1994-02,-0.068
1994-03,-0.0387
1994-04,0.0163
1994-05,-0.0886
1994-06,0.09970000000000001
1994-07,-0.129
1994-08,-0.1895
1994-09,-0.0886
1994-10,0.0006
1994-11,-0.17989999999999998
1994-12,0.0395
1995-01,-0.2147
1995-02,0.07519999999999999
1995-03,0.1259
1995-04,-0.0636
1995-05,0.0231
1995-06,-0.1341
1995-07,0.0329
1995-08,0.0197
1995-09,-0.05
1995-10,0.0019
1995-11,0.0663
1995-12,0.2391
1996-01,0.21660000000000001
1996-02,-0.0355
1996-03,0.11630000000000001
1996-04,-0.0317
1996-05,0.0993
1996-06,0.1463
1996-07,-0.2273
1996-08,-0.12380000000000001
1996-09,0.1036
1996-10,0.1398
1996-11,0.26530000000000004
1996-12,-0.10439999999999999
1997-01,-0.0345
1997-02,-0.1748
1997-03,0.0318
1997-04,0.099
1997-05,0.0202
1997-06,-0.0504
1997-07,0.023700000000000002
1997-08,0.2555
1997-09,0.09699999999999999
1997-10,0.1045
1997-11,-0.2329
1997-12,-0.1167
1998-01,0.016399999999999998
1998-02,0.019
1998-03,0.08310000000000001
1998-04,-0.1125
1998-05,-0.038900000000000004
1998-06,0.1042
1998-07,-0.2568
1998-08,-0.0824
1998-09,0.23420000000000002
1998-10,-0.1304
1998-11,-0.18969999999999998
1998-12,-0.0516
1999-01,-0.0789
1999-02,-0.09300000000000001
1999-03,0.2169
1999-04,0.109
1999-05,0.0429
1999-06,0.0125
1999-07,0.0553
1999-08,0.1105
1999-09,-0.0677
1999-10,0.013600000000000001
1999-11,-0.22399999999999998
1999-12,0.0115
2000-01,0.1489
2000-02,0.0593
2000-03,0.0681
2000-04,0.0653
2000-05,0.3868
2000-06,0.0349
2000-07,-0.1459
2000-08,0.2807
2000-09,0.0767
2000-10,-0.1311
2000-11,0.4617
2000-12,0.5089
2001-01,-0.3475
2001-02,-0.006
2001-03,-0.0454
2001-04,-0.0664
2001-05,-0.1759
2001-06,-0.2148
2001-07,0.0424
2001-08,-0.2492
2001-09,-0.17
2001-10,0.2402
2001-11,-0.2108
2001-12,-0.0784
2002-01,-0.1636
2002-02,0.0645
2002-03,0.3613
2002-04,0.1377
2002-05,-0.1572
2002-06,-0.011000000000000001
2002-07,-0.09609999999999999
2002-08,0.08289999999999999
2002-09,0.14279999999999998
2002-10,-0.0525
2002-11,-0.012199999999999999
2002-12,0.1594
2003-01,0.19579999999999997
2003-02,0.1858
2003-03,-0.16570000000000001
2003-04,0.0652
2003-05,0.1448
2003-06,-0.1407
2003-07,-0.1341
2003-08,0.0075
2003-09,-0.029500000000000002
2003-10,-0.0242
2003-11,-0.0391
2003-12,0.295
2004-01,-0.0992
2004-02,0.0345
2004-03,0.0874
2004-04,-0.020499999999999997
2004-05,0.08349999999999999
2004-06,-0.0524
2004-07,-0.0089
2004-08,-0.1578
2004-09,0.1902
2004-10,0.12380000000000001
2004-11,-0.1864
2004-12,-0.19440000000000002
2005-01,0.0225
2005-02,0.057999999999999996
2005-03,0.1264
2005-04,-0.149
2005-05,-0.0446
2005-06,0.092
2005-07,0.1243
2005-08,0.4054
2005-09,0.19760000000000003
2005-10,-0.14880000000000002
2005-11,-0.001
2005-12,-0.0934
2006-01,-0.17679999999999998
2006-02,-0.2891
2006-03,0.04769999999999999
2006-04,-0.10640000000000001
2006-05,-0.058499999999999996
2006-06,-0.09029999999999999
2006-07,0.29469999999999996
2006-08,-0.1907
2006-09,-0.34759999999999996
2006-10,0.1321
2006-11,0.1104
2006-12,-0.2749
2007-01,0.1844
2007-02,-0.0444
2007-03,0.0482
2007-04,0.0023
2007-05,-0.006
2007-06,-0.1562
2007-07,-0.0946
2007-08,-0.1023
2007-09,0.0667
2007-10,0.0855
2007-11,-0.1543
2007-12,0.0168
2008-01,0.0762
2008-02,0.1563
2008-03,0.07400000000000001
2008-04,0.068
2008-05,0.0675
2008-06,0.1389
2008-07,-0.3194
2008-08,-0.128
2008-09,-0.1094
2008-10,-0.1333
2008-11,-0.0767
2008-12,-0.1429
2009-01,-0.2191
2009-02,-0.0588
2009-03,-0.11710000000000001
2009-04,-0.13970000000000002
2009-05,0.0913
2009-06,-0.0518
2009-07,-0.0825
2009-08,-0.1674
2009-09,0.21100000000000002
2009-10,-0.09880000000000001
2009-11,-0.1005
2009-12,0.1185
2010-01,-0.0724
2010-02,-0.0554
2010-03,-0.2069
2010-04,-0.0092
2010-05,0.07200000000000001
2010-06,0.0484
2010-07,0.0584
2010-08,-0.205
2010-09,-0.0664
2010-10,-0.0613
2010-11,-0.019799999999999998
2010-12,0.0622
2011-01,-0.0003
2011-02,-0.09570000000000001
2011-03,0.068
2011-04,0.0463
2011-05,-0.0199
2011-06,-0.06849999999999999
2011-07,-0.0564
2011-08,-0.0354
2011-09,-0.1215
2011-10,-0.020499999999999997
2011-11,-0.12480000000000001
2011-12,-0.1632
2012-01,-0.17010000000000003
2012-02,-0.0317
2012-03,-0.21539999999999998
2012-04,0.0037
2012-05,0.0118
2012-06,0.12210000000000001
2012-07,0.1328
2012-08,-0.14429999999999998
2012-09,0.1206
2012-10,0.0207
2012-11,-0.0677
2012-12,-0.0661
2013-01,-0.0077
2013-02,0.016399999999999998
2013-03,0.13970000000000002
2013-04,0.0694
2013-05,-0.0933
2013-06,-0.11220000000000001
2013-07,-0.0317
2013-08,0.0216
2013-09,-0.0336
2013-10,-0.0379
2013-11,0.0795
2013-12,0.0688
2014-01,0.1789
2014-02,-0.0108
2014-03,-0.0393
2014-04,0.0955
2014-05,-0.0621
2014-06,-0.0173
2014-07,-0.1349
2014-08,0.0475
2014-09,0.0012
2014-10,-0.0808
2014-11,0.0326
2014-12,-0.2887
2015-01,-0.0708
2015-02,0.0051
2015-03,-0.0472
2015-04,0.019299999999999998
2015-05,-0.0571
2015-06,0.0593
2015-07,-0.0443
2015-08,-0.0273
2015-09,-0.0858
2015-10,-0.135
2015-11,-0.1024
2015-12,0.0045000000000000005
2016-01,-0.0273
2016-02,-0.25780000000000003
2016-03,0.0839
2016-04,0.0868
2016-05,-0.014499999999999999
2016-06,0.2227
2016-07,-0.0141
2016-08,-0.0353
2016-09,-0.0321
2016-10,0.0018
2016-11,0.0495
2016-12,0.1124
2017-01,-0.1535
2017-02,-0.11869999999999999
2017-03,0.11230000000000001
2017-04,0.0064
2017-05,-0.0833
2017-06,-0.0178
2017-07,-0.07730000000000001
2017-08,0.0717
2017-09,-0.0297
2017-10,-0.0859
2017-11,0.0007000000000000001
2017-12,-0.0356
2018-01,0.0319
2018-02,-0.1107
2018-03,0.0151
2018-04,-0.0064
2018-05,0.055999999999999994
2018-06,-0.006500000000000001
2018-07,-0.0393
2018-08,0.044500000000000005
2018-09,0.025099999999999997
2018-10,0.0658
2018-11,0.3995
2018-12,-0.3296
2019-01,-0.0109
2019-02,-0.015
2019-03,-0.0552
2019-04,-0.050199999999999995
2019-05,-0.0603
2019-06,-0.0608
2019-07,-0.0194
2019-08,-0.0021
2019-09,0.0043
2019-10,0.020499999999999997
2019-11,-0.1641
2019-12,-0.0297
2020-01,-0.1458
2020-02,-0.10369999999999999
2020-03,-0.0527
2020-04,0.128
2020-05,-0.1479
2020-06,-0.1076
2020-07,0.0054
2020-08,0.321
2020-09,-0.1344
2020-10,0.1213
2020-11,-0.1691
2020-12,-0.1288
2021-01,0.0151
2021-02,0.0933
2021-03,-0.0717
2021-04,0.0731
2021-05,0.0028000000000000004
2021-06,0.2108
2021-07,0.0801
2021-08,0.1079
2021-09,0.3258
2021-10,-0.0981
2021-11,-0.174
2021-12,-0.1928
2022-01,0.3701
2022-02,-0.09449999999999999
2022-03,0.2771
2022-04,0.2755
2022-05,0.10830000000000001
2022-06,-0.33520000000000005
2022-07,0.5289
2022-08,0.1104
2022-09,-0.2618
2022-10,-0.09029999999999999
2022-11,0.0525
2022-12,-0.33149999999999996
