Date,Soybean Oil
1960-02,-0.0478
1960-03,0.0559
1960-04,-0.0027
1960-05,0.049
1960-06,0.0259
1960-07,0.0336
1960-08,0.0103
1960-09,0.0479
1960-10,0.0925
1960-11,0.008199999999999999
1960-12,0.029900000000000003
1961-01,0.128
1961-02,0.1487
1961-03,0.002
1961-04,0.0489
1961-05,-0.0683
1961-06,-0.049400000000000006
1961-07,-0.0165
1961-08,0.015300000000000001
1961-09,-0.0139
1961-10,-0.0179
1961-11,0.002
1961-12,0.0109
1962-01,-0.022000000000000002
1962-02,-0.0391
1962-03,-0.0046
1962-04,-0.030600000000000002
1962-05,-0.1463
1962-06,-0.0355
1962-07,0.0121
1962-08,-0.0493
1962-09,0.0245
1962-10,0.0601
1962-11,-0.0159
1962-12,-0.0194
1963-01,0.0768
1963-02,0.012199999999999999
1963-03,0.0087
1963-04,-0.0321
1963-05,-0.016
1963-06,0.0165
1963-07,-0.0574
1963-08,-0.0373
1963-09,0.102
1963-10,0.0758
1963-11,-0.174
1963-12,-0.0070999999999999995
1964-01,-0.0438
1964-02,-0.0278
1964-03,-0.0271
1964-04,0.022799999999999997
1964-05,0.021400000000000002
1964-06,-0.026000000000000002
1964-07,0.0453
1964-08,0.032
1964-09,0.11560000000000001
1964-10,0.0832
1964-11,0.1253
1964-12,-0.06280000000000001
1965-01,0.0977
1965-02,-0.0007000000000000001
1965-03,0.0189
1965-04,-0.0667
1965-05,-0.08470000000000001
1965-06,0.019299999999999998
1965-07,0.0169
1965-08,0.0338
1965-09,0.0294
1965-10,0.0443
1965-11,0.0941
1965-12,0.0315
1966-01,0.0836
1966-02,-0.0173
1966-03,0.0315
1966-04,0.04
1966-05,-0.0381
1966-06,0.030699999999999998
1966-07,0.0665
1966-08,0.0113
1966-09,-0.07
1966-10,-0.0239
1966-11,-0.0159
1966-12,-0.0223
1967-01,-0.0105
1967-02,-0.0034000000000000002
1967-03,0.0278
1967-04,-0.015600000000000001
1967-05,0.0054
1967-06,-0.0843
1967-07,-0.0168
1967-08,-0.004
1967-09,-0.0141
1967-10,-0.035699999999999996
1967-11,-0.0123
1967-12,0.0058
1968-01,0.0279
1968-02,0.001
1968-03,-0.0329
1968-04,0.001
1968-05,-0.037000000000000005
1968-06,-0.0968
1968-07,-0.0298
1968-08,-0.0068000000000000005
1968-09,-0.024900000000000002
1968-10,0.0608
1968-11,0.0642
1968-12,0.0709
1969-01,0.028399999999999998
1969-02,0.045
1969-03,-0.028900000000000002
1969-04,0.0236
1969-05,-0.07150000000000001
1969-06,-0.0146
1969-07,0.0215
1969-08,0.0182
1969-09,0.1048
1969-10,0.1953
1969-11,-0.049100000000000005
1969-12,0.041100000000000005
1970-01,0.0965
1970-02,0.1887
1970-03,0.006
1970-04,0.154
1970-05,-0.0105
1970-06,0.0007000000000000001
1970-07,0.0452
1970-08,-0.0403
1970-09,0.1567
1970-10,0.1832
1970-11,-0.0454
1970-12,-0.023799999999999998
1971-01,0.0594
1971-02,-0.008
1971-03,-0.021099999999999997
1971-04,-0.0713
1971-05,0.0842
1971-06,0.1378
1971-07,0.0516
1971-08,-0.0326
1971-09,-0.0315
1971-10,0.07980000000000001
1971-11,-0.061
1971-12,-0.037599999999999995
1972-01,-0.030600000000000002
1972-02,0.005699999999999999
1972-03,0.0472
1972-04,-0.050199999999999995
1972-05,0.006
1972-06,-0.0694
1972-07,-0.0342
1972-08,0.04769999999999999
1972-09,-0.0060999999999999995
1972-10,0.004
1972-11,-0.0406
1972-12,-0.0048
1973-01,0.0748
1973-02,0.2652
1973-03,0.09050000000000001
1973-04,0.1023
1973-05,0.2097
1973-06,0.0391
1973-07,0.38420000000000004
1973-08,-0.1611
1973-09,0.2045
1973-10,-0.1414
1973-11,0.2297
1973-12,0.1399
1974-01,0.3961
1974-02,0.1507
1974-03,-0.0596
1974-04,0.1151
1974-05,0.0785
1974-06,0.105
1974-07,0.537
1974-08,-0.131
1974-09,0.3782
1974-10,-0.16570000000000001
1974-11,0.024700000000000003
1974-12,-0.0533
1975-01,-0.1159
1975-02,-0.20420000000000002
1975-03,0.2778
1975-04,-0.18170000000000003
1975-05,-0.0693
1975-06,0.025699999999999997
1975-07,0.2596
1975-08,-0.0801
1975-09,0.0236
1975-10,-0.1421
1975-11,-0.11699999999999999
1975-12,-0.0596
1976-01,-0.0105
1976-02,0.0823
1976-03,-0.0405
1976-04,-0.0018
1976-05,0.064
1976-06,0.1333
1976-07,-0.0354
1976-08,0.1474
1976-09,-0.0344
1976-10,0.0805
1976-11,-0.07730000000000001
1976-12,-0.006500000000000001
1977-01,0.062400000000000004
1977-02,0.0541
1977-03,0.1931
1977-04,0.049100000000000005
1977-05,0.0833
1977-06,-0.1564
1977-07,-0.1696
1977-08,-0.0956
1977-09,0.0463
1977-10,-0.0354
1977-11,0.11449999999999999
1977-12,0.0542
1978-01,-0.0229
1978-02,0.094
1978-03,0.1881
1978-04,0.0483
1978-05,0.0751
1978-06,-0.09609999999999999
1978-07,-0.027200000000000002
1978-08,0.081
1978-09,0.044800000000000006
1978-10,0.0753
1978-11,-0.035
1978-12,-0.0052
1979-01,0.0254
1979-02,0.10039999999999999
1979-03,0.0095
1979-04,-0.0436
1979-05,-0.0034999999999999996
1979-06,0.0179
1979-07,-0.016200000000000003
1979-08,0.0447
1979-09,-0.0006
1979-10,-0.030600000000000002
1979-11,0.0377
1979-12,-0.0713
1980-01,0.0097
1980-02,-0.04769999999999999
1980-03,-0.0986
1980-04,-0.0385
1980-05,0.0639
1980-06,0.10880000000000001
1980-07,0.1425
1980-08,-0.033
1980-09,-0.040999999999999995
1980-10,0.053099999999999994
1980-11,0.0771
1980-12,-0.149
1981-01,-0.08410000000000001
1981-02,0.0665
1981-03,0.0253
1981-04,-0.0404
1981-05,-0.0398
1981-06,-0.059699999999999996
1981-07,0.0509
1981-08,-0.0889
1981-09,-0.022099999999999998
1981-10,0.022799999999999997
1981-11,-0.0626
1981-12,-0.0669
1982-01,0.06309999999999999
1982-02,-0.0782
1982-03,-0.0015
1982-04,0.064
1982-05,-0.0358
1982-06,-0.047400000000000005
1982-07,-0.026699999999999998
1982-08,-0.036000000000000004
1982-09,-0.0403
1982-10,-0.0118
1982-11,0.0042
1982-12,-0.037200000000000004
1983-01,0.0679
1983-02,-0.060899999999999996
1983-03,0.1166
1983-04,0.054900000000000004
1983-05,-0.054900000000000004
1983-06,0.051
1983-07,0.201
1983-08,0.42210000000000003
1983-09,-0.0348
1983-10,-0.11699999999999999
1983-11,-0.0387
1983-12,0.0818
1984-01,-0.0725
1984-02,0.0252
1984-03,0.064
1984-04,0.098
1984-05,0.1484
1984-06,-0.0873
1984-07,-0.131
1984-08,0.12279999999999999
1984-09,-0.0635
1984-10,0.0779
1984-11,0.0179
1984-12,-0.0053
1985-01,0.1066
1985-02,0.0323
1985-03,0.1274
1985-04,0.0928
1985-05,-0.0375
1985-06,0.0
1985-07,-0.0471
1985-08,-0.09609999999999999
1985-09,-0.0263
1985-10,-0.0567
1985-11,-0.038599999999999995
1985-12,0.1115
1986-01,-0.083
1986-02,-0.1489
1986-03,0.13419999999999999
1986-04,-0.027000000000000003
1986-05,-0.0717
1986-06,-0.06559999999999999
1986-07,-0.0139
1986-08,-0.1399
1986-09,0.0478
1986-10,0.0369
1986-11,0.0178
1986-12,-0.028300000000000002
1987-01,0.0858
1987-02,-0.0799
1987-03,0.0031
1987-04,0.024700000000000003
1987-05,0.013999999999999999
1987-06,0.0212
1987-07,-0.0369
1987-08,-0.024700000000000003
1987-09,0.049100000000000005
1987-10,0.0255
1987-11,0.0675
1987-12,0.11800000000000001
1988-01,0.0014000000000000002
1988-02,0.015600000000000001
1988-03,-0.0118
1988-04,0.085
1988-05,0.09789999999999999
1988-06,0.2268
1988-07,-0.1649
1988-08,0.0431
1988-09,-0.10289999999999999
1988-10,-0.041100000000000005
1988-11,-0.068
1988-12,0.0461
1989-01,-0.0546
1989-02,0.060899999999999996
1989-03,-0.0429
1989-04,0.02
1989-05,-0.08560000000000001
1989-06,-0.0258
1989-07,-0.11789999999999999
1989-08,0.029500000000000002
1989-09,0.022099999999999998
1989-10,-0.0102
1989-11,-0.0034000000000000002
1989-12,-0.015
1990-01,0.0060999999999999995
1990-02,0.1092
1990-03,0.0352
1990-04,0.0681
1990-05,0.0068000000000000005
1990-06,0.09210000000000002
1990-07,0.0102
1990-08,-0.0132
1990-09,-0.0151
1990-10,-0.06849999999999999
1990-11,-0.016399999999999998
1990-12,-0.0325
1991-01,0.0322
1991-02,0.0046
1991-03,-0.0296
1991-04,-0.0352
1991-05,-0.0084
1991-06,-0.0902
1991-07,0.1462
1991-08,-0.0625
1991-09,-0.0091
1991-10,-0.039599999999999996
1991-11,-0.0259
1991-12,-0.0223
1992-01,0.0258
1992-02,0.029500000000000002
1992-03,-0.0054
1992-04,-0.023799999999999998
1992-05,0.09050000000000001
1992-06,-0.0232
1992-07,-0.10490000000000001
1992-08,-0.025099999999999997
1992-09,0.0219
1992-10,0.02
1992-11,0.0579
1992-12,0.0025
1993-01,0.0059
1993-02,0.0072
1993-03,-0.0087
1993-04,-0.0017000000000000001
1993-05,0.019
1993-06,0.10830000000000001
1993-07,-0.0222
1993-08,0.010700000000000001
1993-09,-0.0063
1993-10,-0.0091
1993-11,0.1161
1993-12,0.1341
1994-01,-0.0204
1994-02,0.0022
1994-03,-0.0022
1994-04,0.010700000000000001
1994-05,-0.0151
1994-06,-0.0479
1994-07,-0.0902
1994-08,0.0567
1994-09,-0.023
1994-10,0.057699999999999994
1994-11,0.1201
1994-12,0.0604
1995-01,-0.0507
1995-02,0.0242
1995-03,-0.0265
1995-04,0.0288
1995-05,0.0040999999999999995
1995-06,0.0127
1995-07,0.027000000000000003
1995-08,0.0059
1995-09,0.0288
1995-10,-0.0048
1995-11,-0.0583
1995-12,0.0026
1996-01,-0.0333
1996-02,-0.0189
1996-03,0.0518
1996-04,0.0681
1996-05,-0.0291
1996-06,-0.0438
1996-07,-0.0278
1996-08,0.037000000000000005
1996-09,-0.0626
1996-10,-0.0621
1996-11,0.0216
1996-12,-0.016399999999999998
1997-01,0.0313
1997-02,0.0258
1997-03,-0.0253
1997-04,0.0521
1997-05,-0.0623
1997-06,-0.0916
1997-07,0.0437
1997-08,0.0098
1997-09,0.0335
1997-10,0.061799999999999994
1997-11,0.0166
1997-12,-0.030899999999999997
1998-01,-0.0049
1998-02,0.073
1998-03,0.0101
1998-04,0.0381
1998-05,-0.0849
1998-06,0.0033
1998-07,-0.051500000000000004
1998-08,-0.028300000000000002
1998-09,0.026699999999999998
1998-10,0.0187
1998-11,0.0431
1998-12,-0.10859999999999999
1999-01,-0.0572
1999-02,-0.1845
1999-03,0.06309999999999999
1999-04,0.0175
1999-05,-0.0805
1999-06,-0.0803
1999-07,-0.0823
1999-08,0.1315
1999-09,-0.041299999999999996
1999-10,-0.025
1999-11,0.0282
1999-12,-0.0676
2000-01,0.039900000000000005
2000-02,-0.059500000000000004
2000-03,0.1624
2000-04,-0.0288
2000-05,-0.1159
2000-06,-0.0021
2000-07,-0.026699999999999998
2000-08,0.0109
2000-09,-0.026000000000000002
2000-10,-0.06860000000000001
2000-11,0.013999999999999999
2000-12,-0.0327
2001-01,-0.0161
2001-02,0.068
2001-03,0.0088
2001-04,-0.0593
2001-05,-0.0152
2001-06,0.0132
2001-07,0.23
2001-08,-0.1199
2001-09,-0.0901
2001-10,-0.0023
2001-11,0.039900000000000005
2001-12,-0.062400000000000004
2002-01,-0.0199
2002-02,0.0097
2002-03,0.06480000000000001
2002-04,-0.0212
2002-05,0.1469
2002-06,-0.0172
2002-07,0.0877
2002-08,0.0141
2002-09,-0.0416
2002-10,0.0986
2002-11,0.039
2002-12,-0.057300000000000004
2003-01,-0.045
2003-02,0.023
2003-03,0.0225
2003-04,0.0242
2003-05,0.0064
2003-06,-0.011000000000000001
2003-07,-0.114
2003-08,0.10400000000000001
2003-09,0.1832
2003-10,0.046799999999999994
2003-11,0.0349
2003-12,0.0519
2004-01,0.0521
2004-02,0.16440000000000002
2004-03,-0.0521
2004-04,0.0358
2004-05,-0.1565
2004-06,-0.0063
2004-07,-0.1618
2004-08,0.2321
2004-09,-0.17579999999999998
2004-10,0.0319
2004-11,-0.039
2004-12,-0.0033
2005-01,-0.0669
2005-02,0.19640000000000002
2005-03,-0.0169
2005-04,-0.0181
2005-05,0.0242
2005-06,0.023399999999999997
2005-07,0.0225
2005-08,-0.07139999999999999
2005-09,0.0535
2005-10,-0.0418
2005-11,-0.0765
2005-12,0.015
2006-01,0.024300000000000002
2006-02,0.055999999999999994
2006-03,-0.0455
2006-04,0.1116
2006-05,-0.0175
2006-06,0.0435
2006-07,0.014199999999999999
2006-08,-0.0613
2006-09,-0.0546
2006-10,0.10619999999999999
2006-11,0.0955
2006-12,-0.009399999999999999
2007-01,-0.0076
2007-02,0.0349
2007-03,0.0603
2007-04,0.0262
2007-05,0.061799999999999994
2007-06,0.028300000000000002
2007-07,0.0311
2007-08,-0.0429
2007-09,0.08130000000000001
2007-10,0.057699999999999994
2007-11,0.0823
2007-12,0.06480000000000001
2008-01,0.0852
2008-02,0.2668
2008-03,-0.251
2008-04,0.1202
2008-05,0.0526
2008-06,0.0774
2008-07,-0.12050000000000001
2008-08,-0.08779999999999999
2008-09,-0.1782
2008-10,-0.24350000000000002
2008-11,-0.034300000000000004
2008-12,0.0086
2009-01,-0.0258
2009-02,-0.0587
2009-03,0.0809
2009-04,0.0774
2009-05,0.0697
2009-06,-0.10039999999999999
2009-07,-0.0026
2009-08,-0.0054
2009-09,-0.0356
2009-10,0.060599999999999994
2009-11,0.10099999999999999
2009-12,-0.0054
2010-01,-0.11349999999999999
2010-02,0.08439999999999999
2010-03,-0.0349
2010-04,0.0046
2010-05,-0.0338
2010-06,-0.039599999999999996
2010-07,0.0911
2010-08,-0.012199999999999999
2010-09,0.126
2010-10,0.0931
2010-11,0.0273
2010-12,0.1348
2011-01,-0.0083
2011-02,-0.0189
2011-03,0.0254
2011-04,-0.0139
2011-05,-0.0015
2011-06,-0.0625
2011-07,0.005
2011-08,0.046799999999999994
2011-09,-0.15
2011-10,0.018600000000000002
2011-11,-0.0375
2011-12,0.050499999999999996
2012-01,-0.029500000000000002
2012-02,0.063
2012-03,0.0116
2012-04,-0.0074
2012-05,-0.10619999999999999
2012-06,0.0576
2012-07,0.006500000000000001
2012-08,0.06860000000000001
2012-09,-0.0774
2012-10,-0.047
2012-11,-0.0155
2012-12,-0.0104
2013-01,0.0636
2013-02,-0.0784
2013-03,0.0202
2013-04,-0.022099999999999998
2013-05,-0.017
2013-06,-0.0536
2013-07,-0.0536
2013-08,0.0373
2013-09,-0.07200000000000001
2013-10,0.005
2013-11,-0.0281
2013-12,-0.0421
2014-01,-0.038
2014-02,0.1015
2014-03,-0.0327
2014-04,0.037000000000000005
2014-05,-0.0857
2014-06,0.0108
2014-07,-0.0702
2014-08,-0.11699999999999999
2014-09,0.0072
2014-10,0.0729
2014-11,-0.0779
2014-12,-0.011399999999999999
2015-01,-0.0666
2015-02,0.09119999999999999
2015-03,-0.07769999999999999
2015-04,0.0351
2015-05,0.053099999999999994
2015-06,0.0151
2015-07,-0.10800000000000001
2015-08,-0.0704
2015-09,-0.0322
2015-10,0.0331
2015-11,0.0317
2015-12,0.0379
2016-01,0.0044
2016-02,-0.0077
2016-03,0.10880000000000001
2016-04,-0.0391
2016-05,-0.039599999999999996
2016-06,-0.0132
2016-07,-0.0378
2016-08,0.0658
2016-09,0.0176
2016-10,0.0501
2016-11,0.045599999999999995
2016-12,-0.0694
2017-01,-0.0229
2017-02,-0.0054
2017-03,-0.06280000000000001
2017-04,-0.009000000000000001
2017-05,-0.0109
2017-06,0.049
2017-07,0.0547
2017-08,-0.0011
2017-09,-0.06309999999999999
2017-10,0.0594
2017-11,-0.0297
2017-12,-0.0215
2018-01,-0.0044
2018-02,-0.0301
2018-03,-0.0098
2018-04,-0.046
2018-05,0.018000000000000002
2018-06,-0.06559999999999999
2018-07,-0.0131
2018-08,-0.016399999999999998
2018-09,0.009300000000000001
2018-10,-0.0315
2018-11,-0.0044
2018-12,-0.014199999999999999
2019-01,0.08560000000000001
2019-02,-0.0062
2019-03,-0.060700000000000004
2019-04,-0.0256
2019-05,-0.0084
2019-06,0.0226
2019-07,-0.0189
2019-08,0.0222
2019-09,0.011000000000000001
2019-10,0.0583
2019-11,-0.011399999999999999
2019-12,0.1288
2020-01,-0.1378
2020-02,-0.052199999999999996
2020-03,-0.057800000000000004
2020-04,-0.0281
2020-05,0.0294
2020-06,0.019
2020-07,0.0678
2020-08,0.0684
2020-09,0.0083
2020-10,0.009300000000000001
2020-11,0.12050000000000001
2020-12,0.13570000000000002
2021-01,0.0524
2021-02,0.1361
2021-03,0.059699999999999996
2021-04,0.2236
2021-05,0.0545
2021-06,0.0217
2021-07,0.0045000000000000005
2021-08,-0.068
2021-09,-0.001
2021-10,0.0412
2021-11,-0.0956
2021-12,0.023
2022-01,0.14679999999999999
2022-02,0.1186
2022-03,-0.0352
2022-04,0.2303
2022-05,-0.0736
2022-06,-0.12539999999999998
2022-07,0.0204
2022-08,0.0302
2022-09,-0.08539999999999999
2022-10,0.1815
2022-11,0.0215
2022-12,-0.095
