Security,USDKRW BGN Curncy
Start Date,4/30/1981 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,1348.02
8/31/2023,1322.89
7/31/2023,1274.36
6/30/2023,1317.92
5/31/2023,1325.81
4/28/2023,1339.03
3/31/2023,1301.59
2/28/2023,1323.49
1/31/2023,1232.1
12/30/2022,1260.33
11/30/2022,1318.38
10/31/2022,1424.98
9/30/2022,1432.12
8/31/2022,1338.61
7/29/2022,1299.34
6/30/2022,1298.9
5/31/2022,1237.26
4/29/2022,1255.86
3/31/2022,1211.93
2/28/2022,1202.37
1/31/2022,1209.5
12/31/2021,1189.88
11/30/2021,1187.85
10/29/2021,1168.4
9/30/2021,1184.08
8/31/2021,1159.46
7/30/2021,1150.09
6/30/2021,1126.28
5/31/2021,1110.99
4/30/2021,1112.31
3/31/2021,1131.83
2/26/2021,1123.53
1/29/2021,1118.6
12/31/2020,1086.51
11/30/2020,1106.45
10/30/2020,1134.76
9/30/2020,1170.17
8/31/2020,1187.76
7/31/2020,1191.03
6/30/2020,1202.74
5/29/2020,1237.57
4/30/2020,1204.44
3/31/2020,1218.54
2/28/2020,1214.73
1/31/2020,1191.74
12/31/2019,1155.84
11/29/2019,1181.46
10/31/2019,1163.72
9/30/2019,1196.38
8/30/2019,1211.35
7/31/2019,1183.01
6/28/2019,1154.8
5/31/2019,1190.91
4/30/2019,1168.15
3/29/2019,1135.18
2/28/2019,1124.44
1/31/2019,1112.72
12/31/2018,1110.95
11/30/2018,1120.75
10/31/2018,1139.82
9/28/2018,1109.3
8/31/2018,1113.07
7/31/2018,1118.73
6/29/2018,1114.67
5/31/2018,1077.24
4/30/2018,1068.05
3/30/2018,1063.63
2/28/2018,1083
1/31/2018,1067.75
12/29/2017,1067.4
11/30/2017,1087.97
10/31/2017,1120.34
9/29/2017,1145.44
8/31/2017,1127.55
7/31/2017,1119.32
6/30/2017,1144.14
5/31/2017,1119.65
4/28/2017,1137.65
3/31/2017,1118.45
2/28/2017,1130.28
1/31/2017,1161.31
12/30/2016,1205.83
11/30/2016,1168.96
10/31/2016,1143.78
9/30/2016,1101.13
8/31/2016,1114.8
7/29/2016,1120.24
6/30/2016,1151.8
5/31/2016,1191.93
4/29/2016,1139.4
3/31/2016,1143.42
2/29/2016,1236.65
1/29/2016,1199.13
12/31/2015,1175.06
11/30/2015,1157.9
10/30/2015,1140.54
9/30/2015,1185.39
8/31/2015,1182.9
7/31/2015,1170.31
6/30/2015,1115.49
5/29/2015,1108.19
4/30/2015,1072.29
3/31/2015,1109.69
2/27/2015,1098
1/30/2015,1093.68
12/31/2014,1090.98
11/28/2014,1108.06
10/31/2014,1068.82
9/30/2014,1055.21
8/29/2014,1013.88
7/31/2014,1027.78
6/30/2014,1011.84
5/30/2014,1020.2
4/30/2014,1033.22
3/31/2014,1064.7
2/28/2014,1067.6
1/31/2014,1080.97
12/31/2013,1049.8
11/29/2013,1058.2
10/31/2013,1060.73
9/30/2013,1074.64
8/30/2013,1110.04
7/31/2013,1123.28
6/28/2013,1142.06
5/31/2013,1129.64
4/30/2013,1101.28
3/29/2013,1111.35
2/28/2013,1082.9
1/31/2013,1088.59
12/31/2012,1064.4
11/30/2012,1082.85
10/31/2012,1090.7
9/28/2012,1111.38
8/31/2012,1134.63
7/31/2012,1130.55
6/29/2012,1145.4
5/31/2012,1180.33
4/30/2012,1130.13
3/30/2012,1133.1
2/29/2012,1118.96
1/31/2012,1123.26
12/30/2011,1152.45
11/30/2011,1142.57
10/31/2011,1110.21
9/30/2011,1178.1
8/31/2011,1066.77
7/29/2011,1054.07
6/30/2011,1067.65
5/31/2011,1079.15
4/29/2011,1071.53
3/31/2011,1096.93
2/28/2011,1128.9
1/31/2011,1121.3
12/31/2010,1126
11/30/2010,1159.25
10/29/2010,1125.16
9/30/2010,1140.2
8/31/2010,1198.83
7/30/2010,1182.75
6/30/2010,1221.8
5/31/2010,1202.24
4/30/2010,1108.3
3/31/2010,1131.3
2/26/2010,1159.85
1/29/2010,1161.65
12/31/2009,1164
11/30/2009,1162.85
10/30/2009,1182.05
9/30/2009,1178.05
8/31/2009,1248.95
7/31/2009,1228.43
6/30/2009,1273.8
5/29/2009,1255.25
4/30/2009,1282.95
3/31/2009,1383.1
2/27/2009,1534.35
1/30/2009,1379.6
12/31/2008,1259.55
11/28/2008,1468.75
10/31/2008,1290.5
9/30/2008,1206.85
8/29/2008,1088.95
7/31/2008,1012.15
6/30/2008,1046.05
5/30/2008,1030.05
4/30/2008,1002.4
3/31/2008,990.3
2/29/2008,939
1/31/2008,943.95
12/31/2007,935.37
11/30/2007,921.17
10/31/2007,900.75
9/28/2007,915.28
8/31/2007,938.3
7/31/2007,919.3
6/29/2007,923.9
5/31/2007,927.78
4/30/2007,930.85
3/30/2007,940.8
2/28/2007,941.7
1/31/2007,941.2
12/29/2006,929.7
11/30/2006,929.55
10/31/2006,942.35
9/29/2006,946.25
8/31/2006,961.3
7/31/2006,955.2
6/30/2006,948.7
5/31/2006,945.7
4/28/2006,943.2
3/31/2006,971.65
2/28/2006,971
1/31/2006,964.65
12/30/2005,1010
11/30/2005,1033.7
10/31/2005,1040.5
9/30/2005,1042.4
8/31/2005,1034.5
7/29/2005,1026.95
6/30/2005,1034.5
5/31/2005,1008
4/29/2005,997.1
3/31/2005,1015.45
2/28/2005,1004.03
1/31/2005,1026
12/31/2004,1035.1
11/30/2004,1048.5
10/29/2004,1119.35
9/30/2004,1151.85
8/31/2004,1152.45
7/30/2004,1170.1
6/30/2004,1155.45
5/31/2004,1160.1
4/30/2004,1173.35
3/31/2004,1147.28
2/27/2004,1176.53
1/30/2004,1173.5
12/31/2003,1192.1
11/28/2003,1202.05
10/31/2003,1183.63
9/30/2003,1150.1
8/29/2003,1178.35
7/31/2003,1180
6/30/2003,1193.05
5/30/2003,1206
4/30/2003,1215.25
3/31/2003,1254.45
2/28/2003,1193.65
1/31/2003,1174
12/31/2002,1185.7
11/29/2002,1208.75
10/31/2002,1220
9/30/2002,1222.5
8/30/2002,1201.95
7/31/2002,1188
6/28/2002,1201.25
5/31/2002,1221.5
4/30/2002,1294.05
3/29/2002,1327
2/28/2002,1318
1/31/2002,1311.5
12/31/2001,1313.5
11/30/2001,1273
10/31/2001,1290.5
9/28/2001,1304.5
8/31/2001,1279.5
7/31/2001,1298
6/29/2001,1300.5
5/31/2001,1280
4/30/2001,1315.5
3/30/2001,1331.5
2/28/2001,1254
1/31/2001,1257.5
12/29/2000,1265
11/30/2000,1215.5
10/31/2000,1137
9/29/2000,1115.15
8/31/2000,1107.78
7/31/2000,1116.75
6/30/2000,1115.03
5/31/2000,1129.45
4/28/2000,1109.75
3/31/2000,1116.43
2/29/2000,1131.11
1/31/2000,1124.93
12/31/1999,1140
11/30/1999,1159.25
10/29/1999,1199.5
9/30/1999,1217.5
8/31/1999,1180.5
7/30/1999,1203.5
6/30/1999,1157.5
5/31/1999,1186.25
4/30/1999,1175.13
3/31/1999,1227
2/26/1999,1222.75
1/29/1999,1175
12/31/1998,1204
11/30/1998,1238
10/30/1998,1319
9/30/1998,1391
8/31/1998,1350
7/31/1998,1230
6/30/1998,1373
5/29/1998,1407
4/30/1998,1335
3/31/1998,1383.5
2/27/1998,1633
1/30/1998,1525
12/31/1997,1600
11/28/1997,1155
10/31/1997,961.3
9/30/1997,911.1
8/29/1997,902
7/31/1997,881
6/30/1997,884.8
5/30/1997,888.3
4/30/1997,891.95
3/31/1997,893.6
2/28/1997,860.5
1/31/1997,864.95
12/31/1996,840.9
11/29/1996,825.5
10/31/1996,827.25
9/30/1996,820.8
8/30/1996,816
7/31/1996,810.1
6/28/1996,805.8
5/31/1996,784.8
4/30/1996,775.6
3/29/1996,779.4
2/29/1996,777.6
1/31/1996,781.2
12/29/1995,770.2
11/30/1995,766.2
10/31/1995,762.5
9/29/1995,765.5
8/31/1995,774
7/31/1995,757.05
6/30/1995,755.1
5/31/1995,759.15
4/28/1995,757.9
3/31/1995,768.5
2/28/1995,782.9
1/31/1995,783.6
12/30/1994,786.5
11/30/1994,791.2
10/31/1994,793.8
9/30/1994,795.8
8/31/1994,797.9
7/29/1994,799.1
6/30/1994,802.3
5/31/1994,802.9
4/29/1994,804.1
3/31/1994,803.8
2/28/1994,808.8
1/31/1994,808.9
12/31/1993,808.1
11/30/1993,807.8
10/29/1993,808.2
9/30/1993,810
8/31/1993,813.9
7/30/1993,806.7
6/30/1993,803.1
5/31/1993,802
4/30/1993,796.1
3/31/1993,793.65
2/26/1993,795.25
1/29/1993,794.25
12/31/1992,786.5
11/30/1992,785
10/30/1992,782.35
9/30/1992,785.85
8/31/1992,786.3
7/31/1992,787.1
6/30/1992,794.9
5/29/1992,787.9
4/30/1992,783.4
3/31/1992,779.7
2/28/1992,772.4
1/31/1992,766.5
12/31/1991,765.3
11/29/1991,759
10/31/1991,754.8
9/30/1991,745.9
8/30/1991,736.7
7/31/1991,729
6/28/1991,727.4
5/31/1991,725.8
4/30/1991,728
3/29/1991,727.3
2/28/1991,727.2
1/31/1991,721.8
12/31/1990,719.2
11/30/1990,715.9
10/31/1990,716.6
9/28/1990,715.8
8/31/1990,716.8
7/31/1990,717.9
6/29/1990,719
5/31/1990,715.1
4/30/1990,709.8
3/30/1990,703.7
2/28/1990,696.7
1/31/1990,689
12/29/1989,681.4
11/30/1989,675.3
10/31/1989,674.2
9/29/1989,672.7
8/31/1989,671.9
7/31/1989,670.1
6/30/1989,669.9
5/31/1989,669.4
4/28/1989,668.9
3/31/1989,674.6
2/28/1989,675.8
1/31/1989,683.4
12/30/1988,687.4
11/30/1988,690.3
10/31/1988,704.3
9/30/1988,721.9
8/31/1988,724.9
7/29/1988,726.6
6/30/1988,731.6
5/31/1988,736.2
4/29/1988,743.3
3/31/1988,749.6
2/29/1988,764.3
1/29/1988,785.1
12/31/1987,795.9
11/30/1987,800
10/30/1987,805.1
9/30/1987,809.5
8/31/1987,811.4
7/31/1987,811.7
6/30/1987,812.6
5/29/1987,826.4
4/30/1987,837.9
3/31/1987,850.8
2/27/1987,858.6
1/30/1987,860.6
12/31/1986,865.2
11/28/1986,870.3
10/31/1986,877.2
9/30/1986,881
8/29/1986,885.1
7/31/1986,889
6/30/1986,888.9
5/30/1986,891.6
4/30/1986,887.4
3/31/1986,887.5
2/28/1986,886.1
1/31/1986,891
12/31/1985,892.5
11/29/1985,891.7
10/31/1985,894.5
9/30/1985,894
8/30/1985,887.3
7/31/1985,878.5
6/28/1985,876.2
5/31/1985,873.2
4/30/1985,868.1
3/29/1985,853
2/28/1985,845
1/31/1985,832.7
12/31/1984,829.5
11/30/1984,823.2
10/31/1984,819.5
9/28/1984,816.4
8/31/1984,810.8
7/31/1984,813.5
6/29/1984,806.4
5/31/1984,800.3
4/30/1984,799.6
3/30/1984,792.9
2/29/1984,795.3
1/31/1984,801.3
12/30/1983,800.15
11/30/1983,797.25
10/31/1983,793.05
9/30/1983,790.95
8/31/1983,790.25
7/29/1983,781.95
6/30/1983,777.35
5/31/1983,770.75
4/29/1983,767.15
3/31/1983,763.55
2/28/1983,752.25
1/31/1983,751.15
12/31/1982,747.95
11/30/1982,745.65
10/29/1982,744.65
9/30/1982,743.05
8/31/1982,744.9
7/30/1982,743.8
6/30/1982,741.3
5/31/1982,731.75
4/30/1982,721.95
3/31/1982,718.15
2/26/1982,711.45
1/29/1982,708.55
12/31/1981,700.75
11/30/1981,689.9
10/30/1981,688.25
9/30/1981,681.25
8/31/1981,687.85
7/31/1981,686.95
6/30/1981,683.2
5/29/1981,684.4
4/30/1981,678.9